Faction,Shared?,Expansion,Title,Technology,Unlock Condition,Timing Window,Payment Type,Cost,Payment Connector,Cost Type,Payment Qualifier,Reward Type,Reward Modifier,Reward Wording,Card Color,Starfield Color,Gradient Color
Arborec,Y,Base,Bioplasmosis Research,Bioplasmosis,Have at least 1 unit with PRODUCTION on each of at least 6 planets.,At the start of the status phase,spend,1,,resource,,gain,,"At the start of the status phase, you may purge this card and spend 1 resource to gain your Bioplasmosis faction technology.",3d7d46,3d7d46,3d7d46
Arborec,Y,Base,Letani Research,Letani Warrior II,Have at least 40 units on the game board.,At the start of the status phase,spend,3,,resources,,research,,"At the start of the status phase, you may purge this card and spend 3 resources to research your Letani Warrior II faction technology.",3d7d46,3d7d46,3d7d46
Argent,Y,PoK,Strike Wing Research,Strike Wing Alpha,Produce 2 total hits using Anti-Fighter Barrage over the course of the game. (Track this by placing fighter tokens on this card.),At the start of the status phase,spend,5,,resources,,research,,"At the start of the status phase, you may purge this card and spend 5 resources to research your Strike Wing Alpha faction technology.",a36a29,a36a29,a36a29
Argent,Y,PoK,Hololattice Research,Aerie Hololattice,Have at least 5 structures on the game board.,At the start of the status phase,spend,3,,resources,,research,,"At the start of the status phase, you may purge this card and spend 3 resources to research your Aerie Hololattice faction technology.",a36a29,a36a29,a36a29
Letnev,,Base,Non-Euclidean Research,Non-Euclidean Shielding,Have 4 damaged units in the same system.,At the start of the status phase,spend,5,,resources,,research,,"At the start of the status phase, you may purge this card and spend 5 resources to research your Non-Euclidean Shielding faction technology.",3d3d3d,3d3d3d,3d3d3d
Letnev,,Base,L4 Research,L4 Disruptors,Cancel 3 total hits produced by SPACE CANNON with SUSTAIN DAMAGE over the course of the game. (Track this by placing trade good tokens on this card.),At the start of the status phase,spend,2,,resources,,research,,"At the start of the status phase, you may purge this card and spend 2 resources to research your L4 Disruptors faction technology.",3d3d3d,3d3d3d,3d3d3d
Bentor,,DS+,Broker Research,Broker Network,Control 3 planets that either have an attachment or a technology specialty.,At the start of the status phase,spend,3,,influence,,research,,"At the start of the status phase, you may purge this card and spend 3 influence to research your Broker Network faction technology.",3d67a0,3d67a0,3d67a0
Bentor,,DS+,Replicators Research,Merged Replicators,Have 3 fragment tokens on your faction sheet and own at least 1 relic.,At the start of the status phase,spend,4,,influence,,research,,"At the start of the status phase, you may purge this card and spend 4 influence to research your Merged Replicators faction technology.",3d67a0,3d67a0,3d67a0
Berserkers,,DS+,Zhrgar Research,Zhrgar Stimulants,Have a unit in each of 5 systems that contain or are adjacent to a glory token.,At the start of the status phase,remove,1,,glory token,from the game board ,research,,"At the start of the status phase, you may purge this card and remove 1 glory token from the game board to research your Zhrgar Stimulants faction technology.",4e3ea1,4e3ea1,4e3ea1
Berserkers,,DS+,Star Dragon Research,Star Dragon II,Have a carrier in each of 3 systems that contain or are adjacent to an anomaly.,At the start of the status phase,spend,2,,resources,,research,,"At the start of the status phase, you may purge this card and spend 2 resources to research your Star Dragon II faction technology.",4e3ea1,4e3ea1,4e3ea1
Cheiran,,DS+,Brood Research,Brood Pod,Have 7 structures on the game board.,At the start of the status phase,remove,2, of your,structures,from the game board ,research,,"At the start of the status phase, you may purge this card and remove 2 of your structures from the game board to research your Brood Pod faction technology.",3e52a1,3e52a1,3e52a1
Cheiran,,DS+,Chitin Research,Chitin Hulk II,Have 6 dreadnoughts on the game board.,At the start of the status phase,spend,3,,influence,,research, ignoring 1 prerequisite,"At the start of the status phase, you may purge this card and spend 3 influence to research your Chitin Hulk II faction technology ignoring 1 prerequisite.",3e52a1,3e52a1,3e52a1
Saar,,Base,Chaos Research,Chaos Mapping,Have a unit in or adjacent to each of 4 systems that contain an anomaly.,At the start of the status phase,spend,5,,resources,,research,,"At the start of the status phase, you may purge this card and spend 5 resources to research your Chaos Mapping faction technology.",a1793e,a1793e,a1793e
Saar,,Base,Factory Research,Floating Factory II,Produce at least 12 units during the production step of a tactical action.,At the start of the status phase,spend,5,,resources,,research,,"At the start of the status phase, you may purge this card and spend 5 resources to research your Floating Factory II faction technology.",a1793e,a1793e,a1793e
Keleres,,TE,Modernization Research,I.I.H.Q. Modernization,Have a unit in each of 3 systems in or adjacent to the Mecatol Rex system or systems containing a legendary planet.,At the start of the status phase,spend,5,,influence,,research,,"At the start of the status phase, you may purge this card and spend 5 influence to research your I.I.H.Q. Modernization faction technology.",553dbc,7e207b,7e207b
Keleres,,TE,Supply Research,Agency Supply Network,Have a structure in each of 4 contiguous systems.,At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Agency Supply Network faction technology.",553dbc,7e207b,7e207b
Keleres,,TE,Executive Research,Executive Order,"Use your ""Law's Order"" faction ability.",At the start of the status phase,spend,4,,influence,,research,,"At the start of the status phase, you may purge this card and spend 4 influence to research your Executive Order faction technology.",553dbc,7e207b,7e207b
Edyn,,DS+,Unity Algorithm Research,Unity Algorithm,Correctly predict the outcome of at least 4 agendas over the course of a game using your radiance ability. (Track this by placing infantry on this card.),At the start of the status phase,remove,1, of your,mechs,from each of 3 different systems on the game board.,research,,"At the start of the status phase, you may purge this card and remove 1 of your mechs from each of 3 different systems on the game board.to research your Unity Algorithm faction technology.",a1863e,a1863e,a1863e
Edyn,,DS+,Encryption Research,Encrypted Trade Hub,Have a relic in your play area and have at least 1 law in play.,At the start of the status phase,spend,4,,influence,,research,,"At the start of the status phase, you may purge this card and spend 4 influence to research your Encrypted Trade Hub faction technology.",a1863e,a1863e,a1863e
